"","z.pct.mass.loss","z.soil.start.wt","z.weight.g","z.orgc.weight","z.totwt","z.org.c.start.mass","z.org.c.fraction.mass","z.org.c.bulk.wt","z.inorg.c.mass.frac","z.inorg.c.mass.bulk","site","species","depth","pct.mass.loss","soil.start.wt","weight.g","orgc.weight","totwt","org.c.start.mass","org.c.fraction.mass","inorg.c.mass.frac","inorg.c.mass.bulk","org.c.bulk.wt"
"3",1.01404478391203,0.402898690439431,-1.07208900861811,-0.652616163001077,0.161380460854283,0.1182580247802,-0.652616163001077,0.1182580247802,-0.839278255350012,-0.632767198580182,"125J","acer","1",40.59405941,10.588,0.369,0.0738246891996,0.509469441601347,0.466146203990697,0.0738246891996,0,0.0606811096774,0.466146203990697
"6",1.8302610097211,-1.5045912191183,-1.18656787206829,-1.15318301894344,-1.16489064376455,-0.965641645665254,-1.15318301894344,-0.965641645665254,-0.838136429640449,0.142211147986696,"125J","acer","2",56.52173913,10.019,0.026,0.00725059280784327,0.241854279707892,0.244371861557215,0.00725059280784327,1.97190955567189e-05,0.07708637185245,0.244371861557215
"9",0.925182661378161,0.0676632054556467,-0.951268750399545,-0.153500354777626,0.147883049288511,0.355776392397475,-0.153500354777626,0.355776392397475,-0.839278255350012,-1.12986776430756,"126E","fagus","1",38.86,10.488,0.731,0.1402058,0.50674593208,0.514744318032514,0.1402058,0,0.0501581510112,0.514744318032514
"11",1.53909947519469,0.543697594132626,-0.804749155488085,1.0698858563384,2.0069766163582,1.59262316374895,1.0698858563384,1.59262316374895,-0.839278255350012,-0.943026922524951,"126F","picea","1",50.84,10.63,1.17,0.302913,0.881874082119448,0.767812832477875,0.302913,0,0.0541133234467,0.767812832477875
"14",1.74408004742058,1.98856253441274,-1.1578647168009,-0.948111606090683,-1.1239398987528,-1.25584828693429,-0.948111606090683,-1.25584828693429,-0.802668671277654,0.568346672598558,"126F","picea","2",54.84,11.061,0.112,0.03452456,0.250117326544855,0.184993315007035,0.03452456,0.00063224,0.08610709486275,0.184993315007035
"16",1.52973053835702,-0.502237119016788,-1.09878961816917,-0.617903718139851,0.745013062117081,0.985344720185612,-0.61790371813985,0.985344720185612,-0.73256908461232,-0.196748829176032,"126Y","fraxinus","1",50.65717415,10.318,0.289,0.078441354531615,0.627234906391542,0.643558917500728,0.078441354531615,0.00184284546838484,0.06991103938434,0.643558917500728
"19",-0.210013184085313,-0.00273624639094493,-1.02302663856803,-0.95318659205968,-0.76039247923844,-0.628435036114179,-0.95318659205968,-0.628435036114179,-0.839278255350012,0.672462293152713,"126Y","fraxinus","2",16.7077378,10.467,0.516,0.0338496,0.323473973757074,0.313366968887287,0.0338496,0,0.08831108425068,0.313366968887287
"24",1.35820412020535,1.24098740289889,-0.936249657527071,0.202816737970536,0.56876922683069,1.04230584558592,0.202816737970537,1.04230584558592,-0.791926864353445,-1.5195886057257,"127E","quercus","1",47.31,10.838,0.776,0.1875950512,0.5916724016,0.655213608865966,0.1875950512,0.0008177488,0.04190827847364,0.655213608865966
"27",1.30490917142662,1.88128717921793,-1.1064660434151,-0.722687357597088,-0.816504673852066,-0.732147754087143,-0.722687357597088,-0.732147754087143,-0.828519682737184,1.72599918986716,"127E","quercus","2",46.27,11.029,0.266,0.06450540166,0.31215164758,0.292146536353167,0.06450540166,0.00018579834,0.11061306091655,0.292146536353167
"30",1.28389866277346,1.24098740289889,-0.864158011739201,0.517271682014201,1.01487680672861,0.584546975225602,0.517271682014201,0.584546975225602,-0.814399265869764,-0.659420510208619,"127F","populus","1",45.86,10.838,0.992,0.22941674496,0.68168804908,0.561552566949114,0.22941674496,0.00042965504,0.06011689447444,0.561552566949114
"33",0.168804349864637,1.88128717921793,-1.07108773575994,-0.872094463763141,-1.0227467472356,-0.868029111843897,-0.872094463763141,-0.868029111843897,-0.813119473004923,1.10242964081889,"127F","populus","2",24.1,11.029,0.372,0.0446346432,0.27053609427,0.264344148745568,0.0446346432,0.0004517568,0.09741292186514,0.264344148745568
"36",1.42487974516966,0.248690367346892,-0.962950267078135,0.0936752585620642,1.51109502392046,2.14326158155185,0.0936752585620644,2.14326158155185,-0.839278255350012,-1.63416196511537,"130E","picea","1",48.61111111,10.542,0.696,0.1730795168928,0.781815027693806,0.880477755585256,0.1730795168928,0,0.03948291264582,0.880477755585256
"39",0.949054837181474,-0.451951796269218,-1.07576034243138,-0.71084489253947,-0.769585366090502,-0.815962121481374,-0.71084489253947,-0.815962121481374,-0.839278255350012,1.04413862701492,"130E","picea","2",39.3258427,10.333,0.358,0.0660804188648,0.321619031811483,0.274997461838092,0.0660804188648,0,0.09617897853222,0.274997461838092
"42",1.09643546684997,-0.13347808553462,-1.05039476335787,-0.509796840724855,0.0977587453568519,0.0797894101879219,-0.509796840724855,0.0797894101879219,-0.811356681218365,-0.0885482095472752,"130P","populus","1",42.20183486,10.428,0.434,0.0928192894511944,0.496631843290195,0.45827522484184,0.0928192894511944,0.000482199852205405,0.07220150277648,0.45827522484184
"45",0.797256149525386,-0.348028795924243,-1.11013737722837,-0.854162318029032,-1.01566317714549,-1.10109678346324,-0.854162318029032,-1.10109678346324,-0.838910045697486,1.06391893036764,"130P","populus","2",36.36363636,10.364,0.255,0.0470195721749041,0.27196541799563,0.216656681883769,0.0470195721749041,6.35890509581791e-06,0.09659770127956,0.216656681883769
"48",1.64560163799253,-1.23305047628144,-1.0664151290885,-0.431686763887705,0.200297564655416,0.473037680564451,-0.431686763887707,0.473037680564451,-0.831678199301338,-0.948814493449142,"130Q1","acer","1",52.91828794,10.1,0.386,0.103207727524535,0.517322140041277,0.53873689390021,0.103207727524535,0.000131251407465226,0.053990808258,0.53873689390021
"51",0.486679524971766,-0.800596700652358,-1.11814756009369,-0.998945234398629,-1.09448536683807,-1.15593162242552,-0.998945234398629,-1.15593162242552,-0.839278255350012,2.00600805385344,"130Q1","acer","2",30.3030303,10.229,0.231,0.0277638189906,0.256060665956689,0.20543704533908,0.0277638189906,0,0.11654047662485,0.20543704533908
"54",1.4231665903151,-0.180411053432354,-0.938919718482178,0.230885423924476,1.6053962185765,0.8487564170002,0.230885423924478,0.8487564170002,-0.828427863507097,-1.42745032635959,"130T2","fraxinus","1",48.57768053,10.414,0.768,0.191328113791149,0.800843135436435,0.615611883334179,0.191328113791149,0.000187384039250649,0.0438587234584,0.615611883334179
"57",2.08171233288871,0.231928593097706,-1.14651695774169,-0.869291516166707,-0.609119923761937,-0.809967532506012,-0.869291516166707,-0.809967532506012,-0.833847869432046,1.06602376334396,"130T2","fraxinus","2",61.42857143,10.537,0.146,0.0450074279764006,0.353997770349563,0.276224001585653,0.0450074279764006,9.37816497993837e-05,0.09664225779777,0.276224001585653
"60",1.83768784224122,1.37843395174225,-1.13450168344372,-0.825855289965012,-0.701712729591053,-0.218446138395498,-0.825855289965012,-0.218446138395498,-0.835235032216903,1.70820216272803,"131M","quercus","1",56.66666667,10.879,0.182,0.0507843336498733,0.335314381534235,0.397253901115268,0.0507843336498733,6.98256333266288e-05,0.11023632149222,0.397253901115268
"63",4.05831070785085,-0.0429645045890007,-1.17588762824786,-1.07455814431911,-1.19967738238709,-1.11631764031721,-1.07455814431911,-1.11631764031721,-0.839278255350012,1.27722613235441,"131M","quercus","2",100,10.455,0.058,0.0177074976546,0.234835006909295,0.213542375631904,0.0177074976546,0,0.1011131314047,0.213542375631904
"64",0.854435360234163,-0.348028795924243,-0.996326029016964,-0.386222694391408,-0.0587170783713054,0.0934281197734564,-0.386222694391407,0.0934281197734564,-0.708572075310719,-0.666805931916106,"131N1","fagus","1",37.47943402,10.364,0.596,0.109254331108206,0.465058130529969,0.461065811399293,0.109254331108206,0.00225726889179378,0.05996055490712,0.461065811399293
"67",0.818018932495136,-0.55922715146403,-1.15719720156212,-1.04605293873008,-1.37819705300632,-1.28411411772446,-1.04605293873008,-1.28411411772446,-0.796267681887067,1.08185668436037,"131N1","fagus","2",36.76880223,10.301,0.114,0.0214986162275194,0.198813283758158,0.179209905151168,0.0214986162275194,0.000742783772480625,0.09697741970445,0.179209905151168
"72",1.86407423031348,0.0341396569572689,-0.961615236600582,0.333871083965514,1.02169540487429,0.876614839491391,0.333871083965514,0.876614839491391,-0.803786475737938,0.43435025039376,"131N2","picea","1",57.18157182,10.478,0.7,0.205024940053514,0.683063906731039,0.621311934268487,0.205024940053514,0.000612935746486132,0.08327056859524,0.621311934268487
"75",1.97647677118168,0.781714788471113,-1.12949531915289,-0.809941089210649,-0.883365207407843,-0.917822011545774,-0.809941089210648,-0.917822011545774,-0.823417445059835,0.995592551004412,"131N2","picea","2",59.375,10.701,0.197,0.0529008811648385,0.298660520125365,0.25415613237252,0.0529008811648385,0.000273912937061562,0.09515132258796,0.25415613237252
"77",0.932356981406067,-1.19617457293322,-0.994323483300634,-0.341857598849856,0.223626138991361,-0.787180927453668,-0.341857598849856,-0.787180927453668,-0.769107994328771,-0.110962354022932,"131V1","fraxinus","1",39,10.111,0.602,0.115154774,0.522029382908829,0.280886319039536,0.115154774,0.001211826,0.07172702511116,0.280886319039536
"80",1.29875975425984,3.2959809258495,-1.16186980823356,-1.00018303284958,-1.11396863803292,-1.09165294766757,-1.00018303284958,-1.09165294766757,-0.810279358172742,1.01649674995027,"131V1","fraxinus","2",46.15,11.451,0.1,0.027599195,0.252129328874198,0.218588964484035,0.027599195,0.000500805,0.09559383671211,0.218588964484035
"82",0.979826062039994,-1.06878508863939,-0.804749155488085,0.532457351386432,0.852501220321771,1.08884382024259,0.532457351386429,1.08884382024259,-0.772132100147159,-0.979205528399964,"132Q","fagus","1",39.92631375,10.149,1.17,0.231436399686554,0.648923881412863,0.664735642139975,0.231436399686554,0.00115960031344648,0.05334747041721,0.664735642139975
"85",0.624357822538827,-0.92128147524652,-1.11814756009369,-0.993805110730091,-1.40416658957466,-1.17406578372372,-0.993805110730091,-1.17406578372372,-0.806495128819015,0.266135865413515,"132Q","fagus","2",32.98969072,10.193,0.231,0.0284474421360649,0.193573147176103,0.201726654232643,0.0284474421360649,0.00056615786393507,0.07970969350829,0.201726654232643
"89",1.7292189559342,-0.579341280563058,-0.984644512338374,0.0958602947424635,1.53419751618121,1.67488436812673,0.0958602947424637,1.67488436812673,-0.837617613139567,-1.22982185965242,"133U1","picea","1",54.55,10.295,0.631,0.17337012105,0.786476651689815,0.784644117702983,0.17337012105,2.867895e-05,0.0480422555841,0.784644117702983
"92",0.877524678335642,-0.44524708656954,-0.891526136529041,0.13116106848007,-0.272102824640533,-0.574704280804598,0.13116106848007,-0.574704280804598,-0.832736926854922,0.177346649330768,"133U1","picea","2",37.93,10.335,0.91,0.1780650326,0.422001125944163,0.32436070128905,0.1780650326,0.0001129674,0.0778301437446,0.32436070128905
"96",1.22906635970304,0.0676632054556467,-1.01968906237414,-0.316988372228487,0.823109497756438,1.0723481291924,-0.316988372228487,1.0723481291924,-0.827507228314251,-0.380072314900731,"133U2","populus","1",44.79,10.488,0.526,0.11846231678,0.64299321568,0.661360494849691,0.11846231678,0.00020328322,0.0660303247044,0.661360494849691
"99",0.719689637721709,0.49005991653522,-1.11047113484776,-0.838052724674673,-0.624075591805351,-0.672329891550964,-0.838052724674672,-0.672329891550964,-0.785618462773592,2.79468139699956,"133U2","populus","2",34.85,10.614,0.254,0.0491621064,0.35098001364,0.304385738459655,0.0491621064,0.0009266936,0.1332356436861,0.304385738459655
"102",1.63090919478441,-0.0295550851896508,-1.04905973288031,-0.327622190936382,0.61093192896528,0.877496367931016,-0.327622190936378,0.877496367931016,-0.822380437365425,-0.487228221342108,"133V1","acer","1",52.63157895,10.459,0.438,0.117048046411781,0.600179997308237,0.621492301875715,0.117048046411781,0.000291821847018525,0.06376197650272,0.621492301875715
"105",2.08734366729616,-1.34367818632609,-1.12949531915289,-0.757381719189448,-0.565778382408612,-0.563112143549285,-0.757381719189448,-0.563112143549285,-0.829246633368791,0.29688329166159,"133V1","acer","2",61.53846154,10.067,0.197,0.0598911413559454,0.362743232393928,0.326732543155318,0.0598911413559454,0.000173244051854609,0.08036057567944,0.326732543155318
"108",1.06149474190838,-0.629626603310627,-0.91322038178928,0.118277114019924,0.757953165436631,1.06882097477471,0.118277114019924,1.06882097477471,-0.839278255350012,-1.50565674628436,"134T","quercus","1",41.52,10.28,0.845,0.1763515,0.62984596218,0.660638811493776,0.1763515,0,0.042203197432,0.660638811493776
"111",0.692017260471214,1.51923285543544,-1.1034622248406,-0.84378295948397,-0.828695362622848,-0.670143440142903,-0.84378295948397,-0.670143440142903,-0.839278255350012,0.399461918935918,"134T","quercus","2",34.31,10.921,0.275,0.0484,0.30969180876,0.304833103503216,0.0484,0,0.08253202896126,0.304833103503216
"114",1.406887006109,-0.629626603310627,-1.03604318572417,-0.30117329983131,0.19285505702261,0.430439513723027,-0.30117329983131,0.430439513723027,-0.804980249426409,-1.01670175927035,"134X","fagus","1",48.26,10.28,0.477,0.12056568048,0.51582038985,0.530020976091834,0.12056568048,0.00059231952,0.0525537250168,0.530020976091834
"117",1.09582898775621,1.51923285543544,-1.13550295630188,-0.908131389268669,-1.01035190179648,-0.806452631931581,-0.908131389268669,-0.806452631931581,-0.757188418335217,1.56127265384822,"134X","fagus","2",42.19,10.921,0.179,0.03984182537,0.27303712785,0.276943177709485,0.03984182537,0.00141767463,0.10712601895912,0.276943177709485
"118",1.42578429522516,-1.2732787344795,-1.09244822340079,-0.661439750696637,0.168842469011124,0.240289365056303,-0.661439750696637,0.240289365056303,-0.826445148009487,-0.964220661515819,"135J","acer","1",48.62876254,10.088,0.308,0.0726511748712103,0.510975126610987,0.491114769794289,0.0726511748712103,0.000221625128789705,0.0536646801444,0.491114769794289
"121",-0.34053777088365,-0.374847634722949,-0.9325783237138,-0.956209959160152,-1.00386696345125,-0.868467350733513,-0.956209959160151,-0.868467350733513,-0.839278255350012,0.320059688709653,"135J","acer","2",14.16067521,10.356,0.787,0.0334475,0.274345659581622,0.264254481644246,0.0334475,0,0.0808511892192,0.264254481644246
"124",-0.158074317079034,-0.337971731374729,-0.977301844711831,-0.892060481421221,0.717054884185817,1.75544512673661,-0.892060481421221,1.75544512673661,-0.816088316802058,-0.777043290935431,"156H","picea","1",17.72127516,10.367,0.653,0.0419792145227933,0.621593501487775,0.801127478436276,0.0419792145227933,0.000400485477206735,0.05762697644753,0.801127478436276
"127",0.37782710361567,-1.32021170237722,-1.07976543386404,-0.810990511626978,-0.836126566453144,-0.764223153433423,-0.810990511626978,-0.764223153433423,-0.798994666932648,0.412232335962943,"156H","picea","2",28.17887931,10.074,0.346,0.0527613106993333,0.308192339451514,0.285583659001807,0.0527613106993333,0.000695689300666605,0.08280236172648,0.285583659001807
"131",0.940043752864538,-0.146887504933976,-0.750680421147182,0.722235482606403,1.62727281158466,1.06810777252889,0.722235482606403,1.06810777252889,-0.839278255350012,-0.293496649680577,"157G","populus","1",39.15,10.424,1.332,0.2566764,0.805257397316353,0.660492884741142,0.2566764,0,0.06786301653664,0.660492884741142
"134",1.0189612731715,-1.04531860469052,-0.890858621290264,0.195984641119297,0.0730263278631915,-0.444919017147301,0.195984641119297,-0.444919017147301,-0.839278255350012,0.0975422699592947,"157G","populus","2",40.69,10.156,0.912,0.1866864,0.491641332761441,0.350915780407512,0.1866864,0,0.07614079103932,0.350915780407512
"138",1.76157243095425,-0.177058698582518,-1.0123463947476,-0.0436543397950327,1.59409026442585,1.8411352843727,-0.0436543397950356,1.8411352843727,-0.829998219137235,-1.22422413871557,"157L","quercus","1",55.18134715,10.415,0.548,0.154815035715246,0.798561818487096,0.818660354292723,0.154815035715246,0.000160264319954294,0.04816075190075,0.818660354292723
"141",1.913165184366,-0.0496692142886786,-1.15986726251723,-1.00336713352885,-0.647006717759939,-0.887533062452334,-1.00336713352885,-0.887533062452334,-0.832821932786994,0.793505983630778,"157L","quercus","2",58.13953488,10.453,0.106,0.0271757178499929,0.346352967960301,0.260353488042384,0.0271757178499929,0.00011149936500712,0.09087341839295,0.260353488042384
"144",1.9513675437744,-0.0194980206401368,-1.0837705252967,-0.453501918897977,0.928797117465646,1.35434907716693,-0.453501918897976,1.35434907716693,-0.821721839622327,-0.418661116667538,"158G","quercus","1",58.88501742,10.462,0.334,0.100306368364986,0.664318877801503,0.719060092430497,0.100306368364986,0.000303195694814049,0.0652134510294,0.719060092430497
"147",1.10614485796985,-0.277629344077651,-1.12882780391412,-0.905035484537147,-0.869461855903787,-0.791144288434985,-0.905035484537147,-0.791144288434985,-0.831494070214122,0.218672065039851,"158G","quercus","2",42.39130435,10.385,0.199,0.0402535726872051,0.301465940262064,0.280075384412074,0.0402535726872051,0.000134431278994818,0.07870494790165,0.280075384412074
"149",1.15527335370172,-0.984976217393439,-0.765031998780879,0.880908494936544,1.77075433144367,1.79487976370036,0.880908494936544,1.79487976370036,-0.839278255350012,-1.05841672171131,"158J1","picea","1",43.35,10.174,1.289,0.2777795,0.834209117693933,0.809196113311073,0.2777795,0,0.05167067467288,0.809196113311073
"155",2.03956264825232,0.1782909155003,-1.09311573863957,-0.506479023114834,1.12719707758508,1.24838479435607,-0.506479023114835,1.24838479435607,-0.830199320525962,-1.45063868568067,"158N","fraxinus","1",60.60606061,10.521,0.306,0.0932605506069375,0.704352048442189,0.697378972136259,0.0932605506069375,0.000156791340262503,0.04336785669321,0.697378972136259
"158",2.35013927280594,-0.0463168594388367,-1.16320483871111,-1.00453293550301,-0.888450749265326,-0.936674197166856,-1.00453293550301,-0.936674197166856,-0.838209305228282,0.110181331500132,"158N","fraxinus","2",66.66666667,10.454,0.096,0.0270206692044819,0.29763435880528,0.250298827878801,0.0270206692044819,1.84605491181539e-05,0.07640834318338,0.250298827878801
"161",1.47453059494354,0.0810726248550026,-1.04104955001499,-0.321388091072925,0.692705823563064,1.09837767036676,-0.321388091072925,1.09837767036676,-0.824441110795075,-0.394303428731607,"159G","populus","1",49.58,10.492,0.462,0.11787716556,0.61668034476,0.666686342375244,0.11787716556,0.00025623444,0.06572907092812,0.666686342375244
"166",1.60981777261262,1.93492485681533,-1.06407882575279,-0.425496576553556,0.902646715127062,1.10111835579509,-0.425496576553556,1.10111835579509,-0.809921011121308,-0.968021303671294,"159L","fraxinus","1",52.22,11.045,0.393,0.10403100642,0.6590422461,0.667247108030276,0.10403100642,0.00050699358,0.05358422559845,0.667247108030276
"170",1.6897125260113,-0.659797796959163,-1.00166615092718,-0.0237458082646946,0.720943708901485,0.421235371830738,-0.0237458082646931,0.421235371830738,-0.832844426235798,-0.427634014388314,"159N","acer","1",53.77906977,10.271,0.58,0.157462818886235,0.622378189062008,0.528137736737229,0.157462818886235,0.000111110907764781,0.06502350670356,0.528137736737229
"173",2.03547611354341,-0.911224410697006,-1.16387235394989,-0.999557766503174,-1.10806239771657,-1.09915269458599,-0.999557766503174,-1.09915269458599,-0.835850572878148,1.08340336262956,"159N","acer","2",60.52631579,10.196,0.094,0.027682353805906,0.253321090839708,0.217054457659646,0.027682353805906,5.91953724939476e-05,0.09701016082892,0.217054457659646
"176",1.55076367225329,-0.569284216013544,-0.795403942145213,1.1751207158702,2.25050583054437,0.275754221591169,1.1751207158702,0.275754221591169,-0.827787284301112,-1.17584055127037,"159P","picea","1",51.06761566,10.298,1.198,0.31690896397379,0.931013439716285,0.498371156572491,0.31690896397379,0.000198446710609909,0.04918496817792,0.498371156572491
"179",1.03921700851102,-0.304448182876351,-1.11013737722837,-0.818302973770801,-0.578890965575748,-0.718459876993181,-0.818302973770801,-0.718459876993181,-0.837122006875882,0.337430399071429,"159P","picea","2",41.08527132,10.377,0.255,0.0517887721585874,0.360097373598623,0.294947182967051,0.0517887721585874,3.72379684125816e-05,0.08121890408364,0.294947182967051
"182",1.66516252711361,1.33485333869436,-0.978970632808773,0.13252960789157,0.41901109354061,-0.301279389794224,0.13252960789157,-0.301279389794224,-0.800727988100219,-0.878108028855747,"160L1","fagus","1",53.3,10.866,0.648,0.1782470448,0.56145418532,0.380305570599557,0.1782470448,0.0006657552,0.0554875701924,0.380305570599557
"185",1.44839557198474,0.996265498860735,-1.13249913772739,-0.839332613940133,-0.916218583689389,-1.38655263307527,-0.839332613940133,-1.38655263307527,-0.8065670638917,0.222072053709387,"160L1","fagus","2",49.07,10.765,0.188,0.04899188444,0.29203136144,0.158250184430474,0.04899188444,0.00056491556,0.0787769211455,0.158250184430474
