sample;site;depth;fraction.name;fraction.code;pct.n.pre.ashing;pct.c.pre.ashing;pct.n.post.ashing;pct.c.post.ashing;pct.mass.loss
1A;131N1;1;POM;pom;1.04;18.71;0.004575909;0.605778891;37.47943402
1A;131N1;1;Sand + Agg;sa;0.1;1.98;0.003834351;0.540328706;3.751959248
1A;131N1;1;Silt + Clay;sc;0.396141868;5.125028521;0.013651776;0.499295543;11.20376729
1B;131N1;2;POM;pom;1.11;19.51;0.026134973;1.030448158;36.76880223
1B;131N1;2;Sand + Agg;sa;0.07;1.57;0.004327847;0.660884211;2.707820489
1B;131N1;2;Silt + Clay;sc;0.2;3.04;0.018821678;0.928187252;5.415800416
2A;132Q;1;POM;pom;1;19.88;0.018825374;0.164982614;39.92631375
2A;132Q;1;Sand + Agg;sa;0.2;3.73;0.003961849;0.270889554;7.643250556
2A;132Q;1;Silt + Clay;sc;0.37;5.17;0.014411509;0.373497764;11.96597004
2B;132Q;2;POM;pom;0.66;12.56;0.02535159;0.365749669;32.98969072
2B;132Q;2;Sand + Agg;sa;0.08;1.57;0.003365679;0.580913346;2.795003146
2B;132Q;2;Silt + Clay;sc;0.18;2.64;0.18;2.64;5.449985531
3A;126Y;1;POM;pom;1.65;27.78;0.368811403;1.292311052;50.65717415
3A;126Y;1;Sand + Agg;sa;0.46;6.18;0.004143629;0.572631537;12.12034384
3A;126Y;1;Silt + Clay;sc;0.53;6.08;0.0196526;0.557423913;12.93240557
3B;126Y;2;POM;pom;0.42;6.56;0.003388948;-0.018322842;16.7077378
3B;126Y;2;Sand + Agg;sa;0.12;2.13;0.00468812;0.570493562;4.040692147
3B;126Y;2;Silt + Clay;sc;0.29;3.7;0.012943114;0.637471657;8.990931893
4A;158J1;1;Sand + Agg;sa;10.62;0.34;5.11;0;10.62
4A;158J1;1;POM;pom;43.35;1.14;21.55;0;43.35
4A;158J1;1;Silt + Clay;sc;0.53;6.7;0.018462631;0.465443526;15.41568812
4B;158J1;2;Sand + Agg;sa;3.99;0.09;1.64;0;3.99
4B;158J1;2;POM;pom;26.14;0.76;12.89;0;26.14
4B;158J2;2;Silt + Clay;sc;0.27;3.61;0.01790944;0.895092004;8.681318681
5A;131V1;1;Sand + Agg;sa;6.17;0.2;3.02;0;6.17
5A;131V1;1;POM;pom;39;1.25;19.33;0;39
5A;131V1;1;Silt + Clay;sc;0.46;5.26;0.016716002;0.627053832;12.55142064
5B;131V1;2;Sand + Agg;sa;4.16;0.1;1.74;0;4.16
5B;131V1;2;POM;pom;46.15;1.58;28.1;0.01;46.15
5B;131V1;2;Silt + Clay;sc;0.22;2.95;0.015985819;0.896223317;7.596671561
6A;156H;1;POM;pom;0.36;6.49;0.003301134;0.074539425;17.72127516
6A;156H;1;Sand + Agg;sa;0.26;4.23;0.012265395;0.470887207;6.912541788
6A;156H;1;Silt + Clay;sc;0.53;7.27;0.01813325;0.516038375;15.68
6B;156H;2;POM;pom;0.72;15.45;0.028584923;0.279954239;8.244810447
6B;156H;2;Sand + Agg;sa;0.09;1.72;0.005370347;0.604059182;3.177172923
6B;156H;2;Silt + Clay;sc;0.24;3.59;0.013369922;0.763503479;8.244810447
7A;135J;1;POM;pom;1.44;23.66;0.004667295;0.140071009;48.62876254
7A;135J;1;Sand + Agg;sa;0.35;5.09;0.004078402;0.597343679;9.959739264
7A;135J;1;Silt + Clay;sc;0.4;4.8;0.013898217;0.419023116;10.79610073
7B;135J;2;POM;pom;0.28;4.25;0.003505927;-0.02259336;14.16067521
7B;135J;2;Sand + Agg;sa;0.13;2.19;0.003316677;0.544762603;5.130080451
7B;135J;2;Silt + Clay;sc;0.22;3.16;0.014561276;0.687063563;6.42911731
8A;159G;1;Sand + Agg;sa;11.36;0.4;5.35;0;11.36
8A;159G;1;Silt + Clay;sc;12.4;0.5;5.62;0;12.4
8A;159G;1;POM;pom;49.58;1.91;25.57;0;49.58
8B;159G;2;POM;pom;0.51;6.97;0.034227704;0.214134509;16.31228182
8B;159G;2;Sand + Agg;sa;0.21;3.23;0.003915372;0.78222372;5.845490035
8B;159G;2;Silt + Clay;sc;0.31;3.82;0.015235648;0.560993138;8.191520046
9A;159L;1;Sand + Agg;sa;8.87;0.33;4.32;0;8.87
9A;159L;1;Silt + Clay;sc;13.56;0.54;6.21;0;13.56
9A;159L;1;POM;pom;52.22;1.82;26.6;0;52.22
9B;159L;2;POM;pom;;;;;
9B;159L;2;Sand + Agg;sa;;;;;
9B;159L;2;Silt + Clay;sc;0.22;3.01;0.01574571;0.774895867;6.970268571
10A;126F;1;Sand + Agg;sa;3.03;0.07;1.42;0;3.03
10A;126F;1;POM;pom;50.84;1.34;25.89;0;50.84
10A;126F;1;Silt + Clay;sc;0.58;7.71;0.017163311;0.561355786;16.88884626
10B;126F;2;Sand + Agg;sa;8.26;0.27;4.01;0;8.26
10B;126F;2;POM;pom;54.84;1.73;31.39;0;54.84
10B;126F;2;Silt + Clay;sc;0.24;3.49;0.019055301;0.94174077;7.439529729
11A;133U1;1;Sand + Agg;sa;9.87;0.34;4.81;0;9.87
11A;133U1;1;POM;pom;54.55;1.61;27.48;0;54.55
11A;133U1;1;Silt + Clay;sc;0.59;7.36;0.021844489;0.466753655;17.33294141
11B;133U1;2;Sand + Agg;sa;3.52;0.09;1.48;0;3.52
11B;133U1;2;POM;pom;37.93;1.16;19.58;0;37.93
11B;133U1;2;Silt + Clay;sc;0.25;3.44;0.015456992;0.75138799;8.832420178
12A;157G;1;Sand + Agg;sa;9.59;0.33;4.57;0;9.59
12A;157G;1;POM;pom;39.15;1.48;19.27;0;39.15
12A;157G;1;Silt + Clay;sc;0.61;6.63;0.016859308;0.457162557;15.11102378
12B;157G;2;Sand + Agg;sa;4.61;0.1;2.08;0;4.61
12B;157G;2;POM;pom;40.69;1.55;20.47;0;40.69
12B;157G;2;Silt + Clay;sc;0.32;3.96;0.017262605;0.685316758;9.757115433
13A;134T;1;Sand + Agg;sa;7.03;0.21;3.26;0;7.03
13A;134T;1;Silt + Clay;sc;12.14;0.45;5.74;0.02;12.14
13A;134T;1;POM;pom;41.52;1.18;20.87;0;41.52
13B;134T;2;Sand + Agg;sa;4;0.12;1.91;0;4
13B;134T;2;Silt + Clay;sc;7.16;0.25;3.51;0.02;7.16
13B;134T;2;POM;pom;34.31;1.04;17.6;0;34.31
14A;126E;1;Sand + Agg;sa;3.66;0.1;1.75;0;11.18
14A;126E;1;Silt + Clay;sc;11.18;0.38;5.31;0;0.46
14A;126E;1;POM;pom;38.86;1.05;19.18;0;38.86
14B;126E;2;Sand + Agg;sa;1.86;0.04;0.89;0;1.86
14B;126E;2;Silt + Clay;sc;6.2;0.19;2.85;0;6.2
14B;126E;2;POM;pom;46.81;1.46;26.67;0;46.81
15A;127F;1;Sand + Agg;sa;6.77;0.25;3.39;0;6.77
15A;127F;1;Silt + Clay;sc;11.89;0.48;5.77;0;11.89
15A;127F;1;POM;pom;45.86;1.55;23.17;0;45.86
15B;127F;2;Sand + Agg;sa;3.33;0.09;1.64;0;3.33
15B;127F;2;Silt + Clay;sc;6.57;0.24;3.32;0;6.57
15B;127F;2;POM;pom;24.1;0.76;12.12;0;24.1
16A;134X;1;Silt + Clay;sc;10.84;0.36;4.78;0;10.84
16A;134X;1;Sand + Agg;sa;6.35;0.19;3.21;0;6.35
16A;134X;1;POM;pom;48.26;1.4;25.4;0;48.26
16B;134X;2;Silt + Clay;sc;7.07;0.21;3.09;0;7.07
16B;134X;2;Sand + Agg;sa;3.92;0.12;2.19;0;3.92
16B;134X;2;POM;pom;42.19;1.32;23.05;0;42.19
17A;133U2;1;Silt + Clay;sc;13.55;0.6;6.42;0;13.55
17A;133U2;1;Sand + Agg;sa;3.82;0.35;4.51;0;3.82
17A;133U2;1;POM;pom;44.79;1.83;22.56;0;44.79
17B;133U2;2;Silt + Clay;sc;8.07;0.29;3.83;0;8.07
17B;133U2;2;Sand + Agg;sa  ;5.02;0.2;2.78;0;5.02
17B;133U2;2;POM;pom;34.85;1.35;19.72;0;34.85
18A;127E;1;Silt + Clay;sc;11.4;0.41;5;0;11.4
18A;127E;1;Sand + Agg;sa;5.45;0.23;3.4;0;5.45
18A;127E;1;POM;pom;47.31;1.42;24.28;0.02;47.31
18B;127E;2;Sand + Agg;sa;3.91;0.13;2.28;0;3.91
18B;127E;2;Silt + Clay;sc;8.27;0.26;3.4;0;8.27
18B;127E;2;POM;pom;46.27;1.45;24.32;0;46.27
19A;160L1;1;Silt + Clay;sc;11.35;0.38;5.2;0;11.35
19A;160L1;1;Sand + Agg;sa;3.09;0.09;1.82;0;3.09
19A;160L1;1;POM;pom;53.3;1.42;27.61;0.02;53.3
19B;160L1;2;Silt + Clay;sc;98.1;0.24;3.51;0;98.1
19B;160L1;2;Sand + Agg;sa;2.21;0.08;1.74;0;2.21
19B;160L1;2;POM;pom;49.07;1.48;26.36;0;49.07
20A;131N2;1;Silt + Clay;sc;0.522593619;7.087117119;0.003252869;0.257860967;17.02786378
20A;131N2;1;Sand + Agg;sa;0.045418199;0.958939667;0.004118564;0.143899916;2.872062663
20A;131N2;1;POM;pom;1.581747266;29.3768394;0.004250348;0.204496646;57.18157182
20B;131N2;2;Silt + Clay;sc;0.251647726;3.558401857;0.002814328;0.589746264;9.576427256
20B;131N2;2;Sand + Agg;sa;0.054047645;1.34559389;0.003689508;0.460765835;2.96735905
20B;131N2;2;POM;pom;1.442441589;26.99228127;0.005538094;0.342257477;59.375
21A;133V1;1;Silt + Clay;sc;0.480204765;5.577936209;0.003971956;0.296958198;13.57388316
21A;133V1;1;Sand + Agg;sa;0.204208906;3.350841537;0.003264229;0.32391729;7.536231884
21A;133V1;1;POM;pom;1.65391055;26.78992426;0.004210252;0.140654873;52.63157895
21B;133V1;2;Silt + Clay;sc;0.271386408;3.470413064;0.003999355;0.219654016;10.19172553
21B;133V1;2;Sand + Agg;sa;0.129724877;2.229037656;0.003923922;0.139387368;5.973223481
21B;133V1;2;POM;pom;1.565692882;30.48953574;0.004296833;0.228646972;61.53846154
22A;159N;1;Silt + Clay;sc;0.460781728;5.712352463;0.003283926;0.411847517;13.70808679
22A;159N;1;Sand + Agg;sa;0.189236388;3.287136174;0.003456246;0.540793351;6.910569106
22A;159N;1;POM;pom;1.472652099;27.16791893;0.004430164;0.041446706;53.77906977
22B;159N;2;Silt + Clay;sc;0.213589319;3.174379184;0.003953456;0.733836917;8.273381295
22B;159N;2;Sand + Agg;sa;0.07751187;1.721463705;0.00357772;0.526338853;3.392857143
22B;159N;2;POM;pom;1.698874426;29.51228636;0.005484916;0.159533628;60.52631579
23A;130Q1;1;Silt + Clay;sc;0.413212101;5.093772469;0.003825147;0.107026533;13.25757576
23A;130Q1;1;Sand + Agg;sa;4.110491254;2.896410164;0.003649906;0.435383944;7.545045045
23A;130Q1;1;POM;pom;1.707514522;26.7717562;0.004834491;0.072221153;52.91828794
23B;130Q1;2;Silt + Clay;sc;0.210902533;2.875432154;0.003721259;0.33814262;8.788927336
23B;130Q1;2;Sand + Agg;sa;0.075713724;1.583726012;0.002716678;0.533462962;3.225806452
23B;130Q1;2;POM;pom;0.590390051;12.01896926;0.005305225;-0.006353165;30.3030303
24A;125J;1;Silt + Clay;sc;0.435615779;5.159870359;0.003391505;0.434500714;12.52427184
24A;125J;1;Sand + Agg;sa;0.209862943;3.300655016;0.004350973;0.567157473;6.158663883
24A;125J;1;POM;pom;1.232299575;20.00669084;0.004631929;-0.036469763;40.59405941
24B;125J;2;Silt + Clay;sc;0.235396992;3.325727206;0.003251489;0.600507356;8.545454545
24B;125J;2;Sand + Agg;sa;0.084176795;1.607423292;0.002964711;0.462854437;3.259005146
24B;125J;2;POM;pom;1.526200021;27.96273809;0.004953767;0.174438153;56.52173913
25A;1.30E+03;1;Silt + Clay;sc;0.481931217;5.809513319;0.003858471;0.060223961;14.77170994
25A;1.30E+03;1;Sand + Agg;sa;0.505239968;7.014947908;0.003696236;0.114652273;12.8745838
25A;1.30E+03;1;POM;pom;1.593110674;24.86774668;0.004293298;-0.028665626;48.61111111
25B;1.30E+03;2;Silt + Clay;sc;0.244690148;3.296704729;0.003470974;0.225690694;10.33464567
25B;1.30E+03;2;Sand + Agg;sa;0.004960369;-0.050353402;0.003341904;0.514033675;4.674796748
25B;1.30E+03;2;POM;pom;1.100618891;18.45821756;0.00351786;-0.006174833;39.3258427
26A;158G;1;Silt + Clay;sc;0.461441814;5.965635963;0.004009576;0.125787543;15.56948798
26A;158G;1;Sand + Agg;sa;0.323709648;5.177964765;0.00340268;0.392030211;10.76759062
26A;158G;1;POM;pom;1.630361465;30.12262397;0.018224443;0.220788502;58.88501742
26B;158G;2;Silt + Clay;sc;0.222083028;3.124494339;0.003252239;0.433334157;9.572301426
26B;158G;2;Sand + Agg;sa;0.120496895;2.286683702;0.003105145;0.581501958;4.550625711
26B;158G;2;POM;pom;1.080263169;20.29547938;0.004655421;0.117262517;42.39130435
27A;159P;1;Silt + Clay;sc;0.580704973;7.694960411;0.004467083;0.12709857;18.45238095
27A;159P;1;Sand + Agg;sa;0.278244842;4.772180652;0.002768583;0.347574368;9.819639279
27A;159P;1;POM;pom;1.334926968;26.46973378;0.003304776;0.033852497;51.06761566
27B;159P;2;Silt + Clay;sc;0.267504385;3.725119684;0.003392874;0.437434478;10.88580576
27B;159P;2;Sand + Agg;sa;0.130306895;2.506467447;0.00330174;0.410546732;5.539637058
27B;159P;2;POM;pom;1.122362231;20.32392554;0.003119676;0.024786883;41.08527132
28A;130P;1;Silt + Clay;sc;0.394773031;4.64932051;0.00401164;0.107234663;12.96482412
28A;130P;1;Sand + Agg;sa;0.201335515;2.955041592;0.004210047;0.314562094;5.856255546
28A;130P;1;POM;pom;1.4664087;21.49803901;0.004052148;0.192230941;42.20183486
28B;130P;2;Silt + Clay;sc;0.208369598;2.921378762;0.003133382;0.373080768;8.943089431
28B;130P;2;Sand + Agg;sa;0.077331178;1.576863933;0.003944628;0.275808541;3.700361011
28B;130P;2;POM;pom;1.067321883;18.4415416;0.003282882;0.003918653;36.36363636
29A;157L;1;Silt + Clay;sc;0.547004996;6.582002285;0.004169039;0.076467447;16.85055165
29A;157L;1;Sand + Agg;sa;0.511790737;7.423915107;0.003210187;0.180420264;15.90493601
29A;157L;1;POM;pom;1.708682134;28.28016424;0.004589185;0.06525255;55.18134715
29B;157L;2;Silt + Clay;sc;0.244200985;3.238776854;0.00396771;0.156749061;10.86323957
29B;157L;2;Sand + Agg;sa;0.210729851;3.839803424;0.003918186;0.727944223;8.276533593
29B;157L;2;POM;pom;1.463307042;25.74265775;0.004553317;0.251282636;58.13953488
30A;158N;1;Silt + Clay;sc;0.573917673;6.153013551;0.004261235;0.043085461;15.76253838
30A;158N;1;Sand + Agg;sa;0.293346935;3.964426009;0.003044679;0.113816447;8.998732573
30A;158N;1;POM;pom;2.180981403;30.52854312;0.003824079;0.130068231;60.60606061
30B;158N;2;Silt + Clay;sc;0.223905559;2.849019023;0.002904061;0.138177302;9.972299169
30B;158N;2;Sand + Agg;sa;0.060803247;1.211745567;0.003870661;0.063219042;3.462050599
30B;158N;2;POM;pom;1.775037678;28.16576016;0.009108558;0.057689216;66.66666667
31A;130T2;1;Silt + Clay;sc;0.585019434;6.812160144;0.003304638;0.07686168;17.36111111
31A;130T2;1;Sand + Agg;sa;0.29295566;3.95544405;0.003136187;0.182700521;8.64422202
31A;130T2;1;POM;pom;1.72629777;24.93691378;0.003999889;0.047448197;48.57768053
31B;130T2;2;Silt + Clay;sc;0.266290515;3.618918228;0.002942319;0.388714908;10.31111111
31B;130T2;2;Sand + Agg;sa;0.069830519;1.434657887;0.00319631;0.216617256;4.019607843
31B;130T2;2;POM;pom;1.859173412;30.89123947;0.004291767;0.16653261;61.42857143
32A;131M;1;Silt + Clay;sc;0.246229446;3.302334334;0.004164963;0.399050592;10.19567456
32A;131M;1;Sand + Agg;sa;0.062007451;1.512182663;0.003042684;0.430045651;3.436123348
32A;131M;1;POM;pom;1.673687839;27.94184576;0.004104227;0.088536306;56.66666667
32B;131M;2;Silt + Clay;sc;0.175344057;2.622886346;0.003339881;0.378640976;9.259259259
32B;131M;2;Sand + Agg;sa;0.03187701;1.222353681;0.003423858;0.526409259;2.58780037
32B;131M;2;POM;pom;1.72286944;30.53016837;0.095801787;0.414269183;100
