"site","depth","fraction.name","fraction.code","pct.n.pre.ashing.fraction","pct.c.pre.ashing.fraction","pct.n.post.ashing","pct.c.post.ashing.fraction","pct.mass.loss.fraction","pct.c.in.org.fraction","pct.c.in.whole.fraction","n.in.org.fract","pct.n.in.whole.fraction","species","pct.c.pre.ashing.bulk","pct.n.pre.ashing.bulk","pct.c.post.ashing.bulk","pct.n.post.ashing.bulk","pct.mass.loss.bulk","fraction.id","pct.c.in.org.fraction.bulk","org.c.in.total.bulk","pct.n.in.org.fraction.bulk","pct.n.in.total.bulk","sample","soil.mass.pre.fract","fraction.mass","org.c.mass.fraction","pct.c.in.fraction","org.c.start.mass.bulk","org.c.fraction.mass","soil.mass.sum.fractions","sum.org.c.mass.fraction","inorg.c.mass.frac","inorg.c.mass.bulk","org.c.bulk.wt","lon","lat","soil.ph","bulk.dens","pct.m","litter.pct.n","litter.pct.c","litter.lignin.mg.g","litter.cell.mg.g","litter.hwec.ppm","soil.npoc.mg.L","fractionated","npoc.mg.g","soil.doc.mass.g","code","CUE","turnover.time.days","mass.spec.growth.rate","litter.hwec.mg.g"
"125J","1","Silt + Clay","sc",0.435615779,5.159870359,0.003391505,0.434500714,12.52427184,38.16419634,4.779787696,3.454484547,0.432649035,"acer",4.912490973,0.379993902,0.573112105,0.002997376,11.02941176,"fraction.sc",39.91681386,4.402589762,3.421099213,0.377327119,"24A",10.588,7.397,0.353560896,69.39786118,0.466146204,0.353560896,10.731,0.509469442,0.028114715,0.06068111,0.466146204,5.425487,52.477055,7.2555,0.884,32.674,1.39495,55.9265,160.9802,88.33845,1826.5,62.57,"y",0.50056,0.0050056,"C2A4",0.246812468,10.37142428,0.096418773,182.65
"125J","1","Sand + Agg","sa",0.209862943,3.300655016,0.004350973,0.567157473,6.158663883,44.9517447,2.768426865,3.341308045,0.205779932,"acer",4.912490973,0.379993902,0.573112105,0.002997376,11.02941176,"fraction.sa",39.91681386,4.402589762,3.421099213,0.377327119,"24A",10.588,2.965,0.082083857,16.11163494,0.466146204,0.082083857,10.731,0.509469442,0.015780565,0.06068111,0.466146204,5.425487,52.477055,7.2555,0.884,32.674,1.39495,55.9265,160.9802,88.33845,1826.5,62.57,"y",0.50056,0.0050056,"C2A4",0.246812468,10.37142428,0.096418773,182.65
"125J","1","POM","pom",1.232299575,20.00669084,0.004631929,0,40.59405941,49.28477499,20.00669084,3.028886374,1.229547934,"acer",4.912490973,0.379993902,0.573112105,0.002997376,11.02941176,"fraction.pom",39.91681386,4.402589762,3.421099213,0.377327119,"24A",10.588,0.369,0.073824689,14.49050388,0.466146204,0.073824689,10.731,0.509469442,0,0.06068111,0.466146204,5.425487,52.477055,7.2555,0.884,32.674,1.39495,55.9265,160.9802,88.33845,1826.5,62.57,"y",0.50056,0.0050056,"C2A4",0.246812468,10.37142428,0.096418773,182.65
"126E","1","Sand + Agg","sa",0.1,1.75,0,0.2,3.66,42.54972678,1.55732,2.732240437,0.1,"fagus",5.33430297,0.349480682,0.47824324,0.003419454,10.84723707,"fraction.sa",45.24595412,4.907935908,3.193736267,0.346432144,"14A",10.488,3.595,0.055985654,11.04807172,0.514744318,0.055985654,10.662,0.506745932,0.006926846,0.050158151,0.514744318,5.425998,52.473158,7.15,0.999,51.643,0.8348,55.8359,204.06715,116.7782,1342,50.94,"y",0.40752,0.0040752,"C4F1",0.236429076,23.81021041,0.041998789,134.2
"126E","1","Silt + Clay","sc",0.38,5.31,0,0.46,11.18,43.84103757,4.901428,3.398926655,0.38,"fagus",5.33430297,0.349480682,0.47824324,0.003419454,10.84723707,"fraction.sc",45.24595412,4.907935908,3.193736267,0.346432144,"14A",10.488,6.336,0.310554478,61.28405941,0.514744318,0.310554478,10.662,0.506745932,0.025887122,0.050158151,0.514744318,5.425998,52.473158,7.15,0.999,51.643,0.8348,55.8359,204.06715,116.7782,1342,50.94,"y",0.40752,0.0040752,"C4F1",0.236429076,23.81021041,0.041998789,134.2
"126E","1","POM","pom",1.05,19.18,0,0,38.86,49.35666495,19.18,2.702007205,1.05,"fagus",5.33430297,0.349480682,0.47824324,0.003419454,10.84723707,"fraction.pom",45.24595412,4.907935908,3.193736267,0.346432144,"14A",10.488,0.731,0.1402058,27.66786887,0.514744318,0.1402058,10.662,0.506745932,0,0.050158151,0.514744318,5.425998,52.473158,7.15,0.999,51.643,0.8348,55.8359,204.06715,116.7782,1342,50.94,"y",0.40752,0.0040752,"C4F1",0.236429076,23.81021041,0.041998789,134.2
"126F","1","Sand + Agg","sa",0.27,4.01,0,0.16,8.26,46.77016949,3.863216,3.268765133,0.27,"picea",7.659986369,0.513921839,0.509062309,0.003698115,14.17322835,"fraction.sa",50.96280428,7.223074623,3.603609945,0.510747866,"10A",10.63,4.076,0.157464684,17.85568794,0.767812832,0.157464684,11.065,0.881874082,0.005982916,0.054113323,0.767812832,5.425055,52.473263,7.205,NA,NA,1.064,56.2102,228.23025,119.61005,1169.5,66.33,"y",0.53064,0.0053064,NA,NA,NA,NA,116.95
"126F","1","POM","pom",1.34,25.89,0,0,50.84,50.92446892,25.89,2.635719906,1.34,"picea",7.659986369,0.513921839,0.509062309,0.003698115,14.17322835,"fraction.pom",50.96280428,7.223074623,3.603609945,0.510747866,"10A",10.63,1.17,0.302913,34.34878132,0.767812832,0.302913,11.065,0.881874082,0,0.054113323,0.767812832,5.425055,52.473263,7.205,NA,NA,1.064,56.2102,228.23025,119.61005,1169.5,66.33,"y",0.53064,0.0053064,NA,NA,NA,NA,116.95
"126F","1","Silt + Clay","sc",0.58,7.71,0.017163311,0.561355786,16.88884626,42.88896126,7.24345073,3.349757381,0.565735374,"picea",7.659986369,0.513921839,0.509062309,0.003698115,14.17322835,"fraction.sc",50.96280428,7.223074623,3.603609945,0.510747866,"10A",10.63,5.819,0.421496398,47.79553073,0.767812832,0.421496398,11.065,0.881874082,0.027148502,0.054113323,0.767812832,5.425055,52.473263,7.205,NA,NA,1.064,56.2102,228.23025,119.61005,1169.5,66.33,"y",0.53064,0.0053064,NA,NA,NA,NA,116.95
"126Y","1","POM","pom",1.65,27.78,0.368811403,1.292311052,50.65717415,53.5804408,27.14233721,2.897946947,1.468018032,"fraxinus",6.819863399,0.560535552,0.677563863,0.002982754,14.01273885,"fraction.pom",44.51124693,6.237244791,3.981882268,0.557970764,"3A",10.318,0.289,0.078441355,12.50589751,0.643558918,0.078441355,10.045,0.627234906,0.001842845,0.069911039,0.643558918,5.418579,52.477868,7.1235,0.723,63.131,2.00415,54.5257,106.51905,77.3521,2381.5,144.2,"y",1.1536,0.011536,"C1Fr1",0.146795375,13.23626329,0.075550023,238.15
"126Y","1","Sand + Agg","sa",0.46,6.18,0.004143629,0.572631537,12.12034384,46.8367354,5.676773374,3.765228108,0.456358593,"fraxinus",6.819863399,0.560535552,0.677563863,0.002982754,14.01273885,"fraction.sa",44.51124693,6.237244791,3.981882268,0.557970764,"3A",10.318,3.627,0.20589657,32.82607013,0.643558918,0.20589657,10.045,0.627234906,0.01825203,0.069911039,0.643558918,5.418579,52.477868,7.1235,0.723,63.131,2.00415,54.5257,106.51905,77.3521,2381.5,144.2,"y",1.1536,0.011536,"C1Fr1",0.146795375,13.23626329,0.075550023,238.15
"126Y","1","Silt + Clay","sc",0.53,6.08,0.0196526,0.557423913,12.93240557,43.26081778,5.594664408,3.965920734,0.512888954,"fraxinus",6.819863399,0.560535552,0.677563863,0.002982754,14.01273885,"fraction.sc",44.51124693,6.237244791,3.981882268,0.557970764,"3A",10.318,6.129,0.342896982,54.66803236,0.643558918,0.342896982,10.045,0.627234906,0.029746218,0.069911039,0.643558918,5.418579,52.477868,7.1235,0.723,63.131,2.00415,54.5257,106.51905,77.3521,2381.5,144.2,"y",1.1536,0.011536,"C1Fr1",0.146795375,13.23626329,0.075550023,238.15
"127E","1","Silt + Clay","sc",0.41,5,0,0.34,11.4,41.21719298,4.69876,3.596491228,0.41,"quercus",6.374198612,0.447685404,0.386679078,0.003647775,15,"fraction.sc",40.30347597,6.045521396,2.963898635,0.444584795,"18A",10.838,6.886,0.323556614,54.68509478,0.655213609,0.323556614,10.238,0.591672402,0.020743386,0.041908278,0.655213609,5.423312,52.471716,7.17,0.701,54.347,1.04705,56.50635,212.64325,104.50795,1013.15,66.72,"y",0.53376,0.0053376,"C5Q1",0.461621399,11.20521238,0.089244181,101.315
"127E","1","Sand + Agg","sa",0.23,3.4,0,0.29,5.45,57.35422018,3.125805,4.220183486,0.23,"quercus",6.374198612,0.447685404,0.386679078,0.003647775,15,"fraction.sa",40.30347597,6.045521396,2.963898635,0.444584795,"18A",10.838,2.576,0.080520737,13.6090067,0.655213609,0.080520737,10.238,0.591672402,0.007063263,0.041908278,0.655213609,5.423312,52.471716,7.17,0.701,54.347,1.04705,56.50635,212.64325,104.50795,1013.15,66.72,"y",0.53376,0.0053376,"C5Q1",0.461621399,11.20521238,0.089244181,101.315
"127E","1","POM","pom",1.42,24.28,0.02,0.2,47.31,51.09833016,24.17462,2.979205242,1.409462,"quercus",6.374198612,0.447685404,0.386679078,0.003647775,15,"fraction.pom",40.30347597,6.045521396,2.963898635,0.444584795,"18A",10.838,0.776,0.187595051,31.70589852,0.655213609,0.187595051,10.238,0.591672402,0.000817749,0.041908278,0.655213609,5.423312,52.471716,7.17,0.701,54.347,1.04705,56.50635,212.64325,104.50795,1013.15,66.72,"y",0.53376,0.0053376,"C5Q1",0.461621399,11.20521238,0.089244181,101.315
"127F","1","Sand + Agg","sa",0.25,3.39,0,0.28,6.77,46.2179616,3.128956,3.692762186,0.25,"populus",5.665956958,0.471839666,0.554686238,0.003431405,12.63046999,"fraction.sa",41.02246554,5.181330199,3.711989055,0.468841664,"15A",10.838,3.194,0.099938855,14.6604968,0.561552567,0.099938855,10.83,0.681688049,0.008337745,0.060116894,0.561552567,5.422491,52.470769,7.279,NA,NA,1.3739,54.71905,157.715,112.7992,2016,70.33,"y",0.56264,0.0056264,"C6P7",0.294266772,24.20473733,0.041314226,201.6
"127F","1","Silt + Clay","sc",0.48,5.77,0,0.53,11.89,44.6006476,5.303017,4.037005887,0.48,"populus",5.665956958,0.471839666,0.554686238,0.003431405,12.63046999,"fraction.sc",41.02246554,5.181330199,3.711989055,0.468841664,"15A",10.838,6.644,0.352332449,51.68529065,0.561552567,0.352332449,10.83,0.681688049,0.031026351,0.060116894,0.561552567,5.422491,52.470769,7.279,NA,NA,1.3739,54.71905,157.715,112.7992,2016,70.33,"y",0.56264,0.0056264,"C6P7",0.294266772,24.20473733,0.041314226,201.6
"127F","1","POM","pom",1.55,23.17,0,0.08,45.86,50.42888792,23.126688,3.379851723,1.55,"populus",5.665956958,0.471839666,0.554686238,0.003431405,12.63046999,"fraction.pom",41.02246554,5.181330199,3.711989055,0.468841664,"15A",10.838,0.992,0.229416745,33.65421255,0.561552567,0.229416745,10.83,0.681688049,0.000429655,0.060116894,0.561552567,5.422491,52.470769,7.279,NA,NA,1.3739,54.71905,157.715,112.7992,2016,70.33,"y",0.56264,0.0056264,"C6P7",0.294266772,24.20473733,0.041314226,201.6
"130E","1","Silt + Clay","sc",0.481931217,5.809513319,0.003858471,0.060223961,14.77170994,38.9811707,5.758185467,3.24026609,0.478642708,"picea",8.661298745,0.630498777,0.374529621,0.003660695,17.44186047,"fraction.sc",47.88533925,8.352094058,3.597532364,0.627476575,"25A",10.542,7.328,0.421959831,53.97182403,0.880477756,0.421959831,10.725,0.781815028,0.003761305,0.039482913,0.880477756,5.430168,52.460313,7.0085,0.672,73.167,1.064,56.2102,228.23025,119.61005,1169.5,73.94,"y",0.59152,0.0059152,"B7P1",0.576742182,9.180758099,0.108923467,116.95
"130E","1","Sand + Agg","sa",0.505239968,7.014947908,0.003696236,0.114652273,12.8745838,53.71091404,6.915056638,3.899307463,0.502019607,"picea",8.661298745,0.630498777,0.374529621,0.003660695,17.44186047,"fraction.sa",47.88533925,8.352094058,3.597532364,0.627476575,"25A",10.542,2.701,0.18677568,23.89000891,0.880477756,0.18677568,10.725,0.781815028,0.002698063,0.039482913,0.880477756,5.430168,52.460313,7.0085,0.672,73.167,1.064,56.2102,228.23025,119.61005,1169.5,73.94,"y",0.59152,0.0059152,"B7P1",0.576742182,9.180758099,0.108923467,116.95
"130E","1","POM","pom",1.593110674,24.86774668,0.004293298,0,48.61111111,51.15650746,24.86774668,3.272717614,1.590904396,"picea",8.661298745,0.630498777,0.374529621,0.003660695,17.44186047,"fraction.pom",47.88533925,8.352094058,3.597532364,0.627476575,"25A",10.542,0.696,0.173079517,22.13816706,0.880477756,0.173079517,10.725,0.781815028,0,0.039482913,0.880477756,5.430168,52.460313,7.0085,0.672,73.167,1.064,56.2102,228.23025,119.61005,1169.5,73.94,"y",0.59152,0.0059152,"B7P1",0.576742182,9.180758099,0.108923467,116.95
"130P","1","Silt + Clay","sc",0.394773031,4.64932051,0.00401164,0.107234663,12.96482412,35.14115263,4.555988632,3.01802392,0.391281493,"populus",4.999120472,0.370655433,0.692381116,0.004461926,12.6984127,"fraction.sc",34.60795354,4.394660768,2.888235793,0.366760101,"28A",10.428,7.252,0.330400296,66.52821403,0.458275225,0.330400296,10.447,0.496631843,0.006768428,0.072201503,0.458275225,5.424881,52.463612,7.145,0.927,0.316,1.3739,54.71905,157.715,112.7992,2016,58.9,"y",0.4712,0.004712,"A1Po2",0.21844518,34.60582013,0.028896873,201.6
"130P","1","Sand + Agg","sa",0.201335515,2.955041592,0.004210047,0.314562094,5.856255546,45.40274988,2.658901058,3.37027675,0.197372019,"populus",4.999120472,0.370655433,0.692381116,0.004461926,12.6984127,"fraction.sa",34.60795354,4.394660768,2.888235793,0.366760101,"28A",10.428,2.761,0.073412258,14.78202802,0.458275225,0.073412258,10.447,0.496631843,0.00817644,0.072201503,0.458275225,5.424881,52.463612,7.145,0.927,0.316,1.3739,54.71905,157.715,112.7992,2016,58.9,"y",0.4712,0.004712,"A1Po2",0.21844518,34.60582013,0.028896873,201.6
"130P","1","POM","pom",1.4664087,21.49803901,0.004052148,0.192230941,42.20183486,50.67773267,21.38693305,3.469201369,1.464066633,"populus",4.999120472,0.370655433,0.692381116,0.004461926,12.6984127,"fraction.pom",34.60795354,4.394660768,2.888235793,0.366760101,"28A",10.428,0.434,0.092819289,18.68975796,0.458275225,0.092819289,10.447,0.496631843,0.0004822,0.072201503,0.458275225,5.424881,52.463612,7.145,0.927,0.316,1.3739,54.71905,157.715,112.7992,2016,58.9,"y",0.4712,0.004712,"A1Po2",0.21844518,34.60582013,0.028896873,201.6
"130Q1","1","Silt + Clay","sc",0.413212101,5.093772469,0.003825147,0.107026533,13.25757576,37.72133873,5.00093506,3.091772457,0.409894076,"acer",5.803702026,0.437261682,0.534562458,0.003200688,12.13872832,"fraction.sc",43.94223606,5.334028652,3.579036497,0.434449517,"23A",10.1,6.858,0.342964126,66.29604648,0.538736894,0.342964126,10.097,0.51732214,0.00636679,0.053990808,0.538736894,5.42436,52.462942,7.144,0.882,53.039,1.39495,55.9265,160.9802,88.33845,1826.5,57.9,"y",0.4632,0.004632,NA,NA,NA,NA,182.65
"130Q1","1","Sand + Agg","sa",4.110491254,2.896410164,0.003649906,0.435383944,7.545045045,33.05316429,2.493876135,54.4346218,4.107116735,"acer",5.803702026,0.437261682,0.534562458,0.003200688,12.13872832,"fraction.sa",43.94223606,5.334028652,3.579036497,0.434449517,"23A",10.1,2.853,0.071150286,13.75357454,0.538736894,0.071150286,10.097,0.51732214,0.011484296,0.053990808,0.538736894,5.42436,52.462942,7.144,0.882,53.039,1.39495,55.9265,160.9802,88.33845,1826.5,57.9,"y",0.4632,0.004632,NA,NA,NA,NA,182.65
"130Q1","1","POM","pom",1.707514522,26.7717562,0.004834491,0.072221153,52.91828794,50.52648959,26.73775324,3.222398961,1.705238361,"acer",5.803702026,0.437261682,0.534562458,0.003200688,12.13872832,"fraction.pom",43.94223606,5.334028652,3.579036497,0.434449517,"23A",10.1,0.386,0.103207728,19.95037899,0.538736894,0.103207728,10.097,0.51732214,0.000131251,0.053990808,0.538736894,5.42436,52.462942,7.144,0.882,53.039,1.39495,55.9265,160.9802,88.33845,1826.5,57.9,"y",0.4632,0.004632,NA,NA,NA,NA,182.65
"130T2","1","Silt + Clay","sc",0.585019434,6.812160144,0.003304638,0.07686168,17.36111111,38.87218084,6.748642506,3.353981863,0.582288518,"fraxinus",6.279059392,0.51395777,0.42115156,0.00343195,12.6984127,"fraction.sc",46.55217573,5.911387395,4.023822782,0.510961623,"31A",10.414,7.553,0.509724968,63.64854063,0.615611883,0.509724968,10.955,0.800843135,0.004797487,0.043858723,0.615611883,5.422526,52.464141,7.153666667,0.741,61.966,2.00415,54.5257,106.51905,77.3521,2381.5,88.72,"y",0.70976,0.0070976,"A3Fr2",0.280736775,24.5820962,0.040680013,238.15
"130T2","1","Sand + Agg","sa",0.29295566,3.95544405,0.003136187,0.182700521,8.64422202,43.82738619,3.788536568,3.35588988,0.290090572,"fraxinus",6.279059392,0.51395777,0.42115156,0.00343195,12.6984127,"fraction.sa",46.55217573,5.911387395,4.023822782,0.510961623,"31A",10.414,2.634,0.099790053,12.46062416,0.615611883,0.099790053,10.955,0.800843135,0.004396343,0.043858723,0.615611883,5.422526,52.464141,7.153666667,0.741,61.966,2.00415,54.5257,106.51905,77.3521,2381.5,88.72,"y",0.70976,0.0070976,"A3Fr2",0.280736775,24.5820962,0.040680013,238.15
"130T2","1","POM","pom",1.72629777,24.93691378,0.003999889,0.047448197,48.57768053,51.28387059,24.91251482,3.549450932,1.724240934,"fraxinus",6.279059392,0.51395777,0.42115156,0.00343195,12.6984127,"fraction.pom",46.55217573,5.911387395,4.023822782,0.510961623,"31A",10.414,0.768,0.191328114,23.89083521,0.615611883,0.191328114,10.955,0.800843135,0.000187384,0.043858723,0.615611883,5.422526,52.464141,7.153666667,0.741,61.966,2.00415,54.5257,106.51905,77.3521,2381.5,88.72,"y",0.70976,0.0070976,"A3Fr2",0.280736775,24.5820962,0.040680013,238.15
"131M","1","Silt + Clay","sc",0.246229446,3.302334334,0.004164963,0.399050592,10.19567456,28.87469215,2.943969642,2.378352974,0.242489129,"quercus",4.57209454,0.333024305,1.013294618,0.002762472,9.154929577,"fraction.sc",39.88633992,3.651566331,3.610237879,0.330514735,"32A",10.879,8.749,0.257567904,76.81385534,0.397253901,0.257567904,11.389,0.335314382,0.031353327,0.110236321,0.397253901,5.429236,52.464875,6.956333333,0.857,39.46,1.04705,56.50635,212.64325,104.50795,1013.15,57.21,"y",0.45768,0.0045768,"A6Q5",0.512957623,14.03784609,0.071236,101.315
